p,d_40,eabc_p,e_d,a_d,b_d,c_d,omega_d,shell_d,H_d,E_d
1951,1911,B,1,0,2,0,4,1,0.5555555555555556,0.9182958340544896
1973,1933,A,1,0,0,0,1,0,1.0,-0.0
1979,1939,C,1,0,1,0,2,0,0.5,1.0
1987,1947,B,0,0,0,2,3,1,1.0,-0.0
1993,1953,E,0,0,2,0,4,2,1.0,-0.0
1997,1957,A,0,0,2,0,2,0,1.0,-0.0
1999,1959,B,0,1,0,0,2,1,1.0,-0.0
2003,1963,C,1,0,1,0,2,0,0.5,1.0
2011,1971,B,1,0,0,0,4,3,1.0,-0.0
2017,1977,E,0,0,0,1,2,1,1.0,-0.0
2027,1987,C,0,0,1,0,1,0,1.0,-0.0
2029,1989,E,1,1,0,0,4,2,0.5,1.0
2039,1999,C,0,0,1,0,1,0,1.0,-0.0
2053,2013,E,1,0,0,1,3,1,0.5,1.0
2063,2023,C,0,2,1,0,3,0,0.5555555555555556,0.9182958340544896
2069,2029,A,1,0,0,0,1,0,1.0,-0.0
2081,2041,A,2,0,0,0,2,0,1.0,-0.0
2083,2043,B,0,0,0,1,3,2,1.0,-0.0
2087,2047,C,0,1,0,1,2,0,0.5,1.0
2089,2049,E,0,0,0,1,2,1,1.0,-0.0
2099,2059,C,0,1,0,1,2,0,0.5,1.0
2111,2071,C,1,0,1,0,2,0,0.5,1.0
2113,2073,E,0,0,1,0,2,1,1.0,-0.0
2129,2089,A,1,0,0,0,1,0,1.0,-0.0
2131,2091,B,0,2,0,0,3,1,1.0,-0.0
2137,2097,E,0,1,0,0,3,2,1.0,-0.0
2141,2101,A,0,0,0,2,2,0,1.0,-0.0
2143,2103,B,0,1,0,0,2,1,1.0,-0.0
2153,2113,A,1,0,0,0,1,0,1.0,-0.0
2161,2121,E,0,1,1,0,3,1,0.5,1.0
2179,2139,B,0,0,1,1,3,1,0.5,1.0
2203,2163,B,0,0,2,0,3,1,1.0,-0.0
2207,2167,C,0,1,0,1,2,0,0.5,1.0
2213,2173,A,0,2,0,0,2,0,1.0,-0.0
2221,2181,E,0,0,1,0,2,1,1.0,-0.0
2237,2197,A,3,0,0,0,3,0,1.0,-0.0
2239,2199,B,1,0,0,0,2,1,1.0,-0.0
2243,2203,C,0,0,1,0,1,0,1.0,-0.0
2251,2211,B,0,0,1,1,3,1,0.5,1.0
2267,2227,C,0,1,0,1,2,0,0.5,1.0
2269,2229,E,0,0,0,1,2,1,1.0,-0.0
2273,2233,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
2281,2241,E,0,0,0,1,4,3,1.0,-0.0
2287,2247,B,0,0,1,1,3,1,0.5,1.0
2293,2253,E,0,0,1,0,2,1,1.0,-0.0
2297,2257,A,2,0,0,0,2,0,1.0,-0.0
2309,2269,A,1,0,0,0,1,0,1.0,-0.0
2311,2271,B,1,0,0,0,2,1,1.0,-0.0
2333,2293,A,1,0,0,0,1,0,1.0,-0.0
2339,2299,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
2341,2301,E,1,0,0,1,3,1,0.5,1.0
2347,2307,B,1,0,0,0,2,1,1.0,-0.0
2351,2311,C,0,0,1,0,1,0,1.0,-0.0
2357,2317,A,0,0,2,0,2,0,1.0,-0.0
2371,2331,B,1,0,1,0,4,2,0.5,1.0
2377,2337,E,0,1,1,0,3,1,0.5,1.0
2381,2341,A,1,0,0,0,1,0,1.0,-0.0
2383,2343,B,0,0,0,2,3,1,1.0,-0.0
2389,2349,E,0,1,0,0,5,4,1.0,-0.0
2393,2353,A,2,0,0,0,2,0,1.0,-0.0
2399,2359,C,1,0,1,0,2,0,0.5,1.0
2411,2371,C,0,0,1,0,1,0,1.0,-0.0
2417,2377,A,1,0,0,0,1,0,1.0,-0.0
2423,2383,C,0,0,1,0,1,0,1.0,-0.0
2437,2397,E,0,1,0,1,3,1,0.5,1.0
2441,2401,A,0,0,4,0,4,0,1.0,-0.0
2447,2407,C,0,1,0,1,2,0,0.5,1.0
2459,2419,C,0,1,0,1,2,0,0.5,1.0
2467,2427,B,0,1,0,0,2,1,1.0,-0.0
2473,2433,E,0,0,1,0,2,1,1.0,-0.0
2477,2437,A,1,0,0,0,1,0,1.0,-0.0
2503,2463,B,0,1,0,0,2,1,1.0,-0.0
2521,2481,E,0,0,0,1,2,1,1.0,-0.0
2531,2491,C,0,1,0,1,2,0,0.5,1.0
2539,2499,B,0,1,2,0,4,1,0.5555555555555556,0.9182958340544896
2543,2503,C,0,0,1,0,1,0,1.0,-0.0
2549,2509,A,2,0,0,0,2,0,1.0,-0.0
2551,2511,B,0,0,1,0,5,4,1.0,-0.0
2557,2517,E,0,0,0,1,2,1,1.0,-0.0
2579,2539,C,0,0,1,0,1,0,1.0,-0.0
2591,2551,C,0,0,1,0,1,0,1.0,-0.0
2593,2553,E,1,0,0,1,3,1,0.5,1.0
2609,2569,A,0,0,2,0,2,0,1.0,-0.0
2617,2577,E,0,0,1,0,2,1,1.0,-0.0
2621,2581,A,0,2,0,0,2,0,1.0,-0.0
2633,2593,A,1,0,0,0,1,0,1.0,-0.0
2647,2607,B,0,0,1,1,3,1,0.5,1.0
2657,2617,A,1,0,0,0,1,0,1.0,-0.0
2659,2619,B,1,0,0,0,4,3,1.0,-0.0
2663,2623,C,1,0,1,0,2,0,0.5,1.0
2671,2631,B,1,0,0,0,2,1,1.0,-0.0
2677,2637,E,0,1,0,0,3,2,1.0,-0.0
2683,2643,B,0,1,0,0,2,1,1.0,-0.0
2687,2647,C,0,0,1,0,1,0,1.0,-0.0
2689,2649,E,0,0,1,0,2,1,1.0,-0.0
2693,2653,A,0,0,2,0,2,0,1.0,-0.0
2699,2659,C,0,0,1,0,1,0,1.0,-0.0
2707,2667,B,0,0,2,0,3,1,1.0,-0.0
2711,2671,C,0,0,1,0,1,0,1.0,-0.0
2713,2673,E,0,0,0,1,6,5,1.0,-0.0
2719,2679,B,0,0,1,1,3,1,0.5,1.0
2729,2689,A,1,0,0,0,1,0,1.0,-0.0
2731,2691,B,1,0,0,1,4,2,0.5,1.0
2741,2701,A,2,0,0,0,2,0,1.0,-0.0
2749,2709,E,0,0,2,0,4,2,1.0,-0.0
2753,2713,A,1,0,0,0,1,0,1.0,-0.0
2767,2727,B,0,1,0,0,4,3,1.0,-0.0
2777,2737,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
2789,2749,A,1,0,0,0,1,0,1.0,-0.0
2791,2751,B,0,0,1,1,3,1,0.5,1.0
2797,2757,E,0,0,1,0,2,1,1.0,-0.0
2801,2761,A,0,0,0,2,2,0,1.0,-0.0
2803,2763,B,0,0,1,0,3,2,1.0,-0.0
2819,2779,C,1,0,1,0,2,0,0.5,1.0
2833,2793,E,0,0,3,0,4,1,1.0,-0.0
2837,2797,A,1,0,0,0,1,0,1.0,-0.0
2843,2803,C,0,0,1,0,1,0,1.0,-0.0
2851,2811,B,1,0,0,0,2,1,1.0,-0.0
2857,2817,E,1,0,0,0,3,2,1.0,-0.0
2861,2821,A,1,0,2,0,3,0,0.5555555555555556,0.9182958340544896
2879,2839,C,0,1,0,1,2,0,0.5,1.0
2887,2847,B,2,0,0,0,3,1,1.0,-0.0
2897,2857,A,1,0,0,0,1,0,1.0,-0.0
2903,2863,C,1,0,1,0,2,0,0.5,1.0
2909,2869,A,0,0,2,0,2,0,1.0,-0.0
2917,2877,E,0,1,1,0,3,1,0.5,1.0
2927,2887,C,0,0,1,0,1,0,1.0,-0.0
2939,2899,C,1,0,1,0,2,0,0.5,1.0
2953,2913,E,0,0,0,1,2,1,1.0,-0.0
2957,2917,A,1,0,0,0,1,0,1.0,-0.0
2963,2923,C,1,0,1,0,2,0,0.5,1.0
2969,2929,A,0,2,0,0,2,0,1.0,-0.0
2971,2931,B,0,1,0,0,2,1,1.0,-0.0
2999,2959,C,0,1,0,1,2,0,0.5,1.0
3001,2961,E,0,0,1,1,4,2,0.5,1.0
3011,2971,C,0,0,1,0,1,0,1.0,-0.0
3019,2979,B,0,0,1,0,3,2,1.0,-0.0
3023,2983,C,1,0,1,0,2,0,0.5,1.0
3037,2997,E,1,0,0,0,5,4,1.0,-0.0
3041,3001,A,1,0,0,0,1,0,1.0,-0.0
3049,3009,E,0,1,0,1,3,1,0.5,1.0
3061,3021,E,0,1,1,0,3,1,0.5,1.0
3067,3027,B,1,0,0,0,2,1,1.0,-0.0
3079,3039,B,0,1,0,0,2,1,1.0,-0.0
3083,3043,C,0,1,0,1,2,0,0.5,1.0
3089,3049,A,1,0,0,0,1,0,1.0,-0.0
3109,3069,E,0,0,1,1,4,2,0.5,1.0
3119,3079,C,0,0,1,0,1,0,1.0,-0.0
3121,3081,E,1,0,1,0,3,1,0.5,1.0
3137,3097,A,0,0,2,0,2,0,1.0,-0.0
3163,3123,B,0,0,0,1,3,2,1.0,-0.0
3167,3127,C,0,1,0,1,2,0,0.5,1.0
3169,3129,E,0,1,1,0,3,1,0.5,1.0
3181,3141,E,1,0,0,0,3,2,1.0,-0.0
